date,portfolio_value
2016-05-18,607492.39
2016-05-19,597904.07
2016-05-20,617869.12
2016-05-23,613283.93
2016-05-24,632019.01
2016-05-25,632157.18
2016-05-26,632157.18
2016-05-27,632295.73
2016-05-31,632598.19
2016-06-01,632840.52
2016-06-02,636411.92
2016-06-03,627694.80
2016-06-06,631551.33
2016-06-07,627092.12
2016-06-08,629864.10
2016-06-09,627092.12
2016-06-10,606000.16
2016-06-13,600676.40
2016-06-14,600983.07
2016-06-15,595587.92
2016-06-16,586821.38
2016-06-17,586692.80
2016-06-20,576564.33
2016-06-21,582317.97
2016-06-22,578542.16
2016-06-23,591967.10
2016-06-24,591837.40
2016-06-27,570364.52
2016-06-28,605900.84
2016-06-29,605900.84
2016-06-30,605900.84
2016-07-01,606166.11
2016-07-05,603078.08
2016-07-06,617288.77
2016-07-07,621753.32
2016-07-08,621617.44
2016-07-11,625251.78
2016-07-12,635094.37
2016-07-13,630647.36
2016-07-14,643454.78
2016-07-15,639837.99
2016-07-18,650837.00
2016-07-19,644095.64
2016-07-20,666152.74
2016-07-21,662190.83
2016-07-22,669878.21
2016-07-25,671805.41
2016-07-26,674057.08
2016-07-27,687211.16
2016-07-28,694677.01
2016-07-29,699239.55
2016-08-01,708305.46
2016-08-02,692350.01
2016-08-03,698909.47
2016-08-04,705173.66
2016-08-05,725561.25
2016-08-08,722021.64
2016-08-09,726800.10
2016-08-10,721195.62
2016-08-11,730516.67
2016-08-12,731873.33
2016-08-15,738457.18
2016-08-16,726817.75
2016-08-17,730227.47
2016-08-18,730932.84
2016-08-19,729933.42
2016-08-22,734127.16
2016-08-23,738498.14
2016-08-24,724263.12
2016-08-25,720837.40
2016-08-26,724322.34
2016-08-29,726074.89
2016-08-30,719520.87
2016-08-31,717631.37
2016-09-01,720819.80
2016-09-02,729263.25
2016-09-06,738199.03
2016-09-07,739548.77
2016-09-08,726873.89
2016-09-09,671773.15
2016-09-12,716990.81
2016-09-13,700071.26
2016-09-14,709067.09
2016-09-15,726344.05
2016-09-16,726344.05
2016-09-19,711549.73
